doc_id,file_path,title,source_url,retrieved_at,document_version,license_or_permission
hoc-bong-fpt-2024,data/dich-vu-dai-hoc/hoc-bong-fpt-2024.md,Quy chế học bổng Trường Đại học FPT năm 2024,https://university.fpt.edu.vn/,2026-09-19,2024,public-source
ho-tro-tai-chinh-hust,data/dich-vu-dai-hoc/ho-tro-tai-chinh-hust.md,Hỗ trợ tài chính cho sinh viên Đại học Bách khoa Hà Nội,https://ts.hust.edu.vn/tin-tuc/ho-tro-tai-chinh-cho-sinh-vien,2026-09-19,2024,public-source
hoc-bong-dinh-thien-ly,data/dich-vu-dai-hoc/hoc-bong-dinh-thien-ly.md,Học bổng Đinh Thiện Lý cho giáo dục,https://www.lstf.org.vn/vi/linh-vuc/giao-duc/hoc-bong-dinh-thien-ly/,2026-09-19,2026-2027,public-source
hoc-bong-jensen-huang-2025,data/dich-vu-dai-hoc/hoc-bong-jensen-huang-2025.md,Chương trình Học bổng Jensen Huang năm 2025,https://iuoss.com/chuong-trinh-hoc-bong-jensen-huang-nam-2025/,2026-09-19,2025,public-source
hoc-bong-sigma-gold-2026,data/dich-vu-dai-hoc/hoc-bong-sigma-gold-2026.md,Học bổng Sigma Gold năm học 2026-2027 cho sinh viên ngành Toán,https://viasm.edu.vn/hoat-dong-khoa-hoc/tin-tuc/chi-tiet/hoc-bong-sigma-gold-nam-hoc-2026-2027-cho-sinh-vien-nganh-toan,2026-09-19,2026-2027,public-source
hoc-bong-tdtu-2026,data/dich-vu-dai-hoc/hoc-bong-tdtu-2026.md,Học phí và Học bổng Đại học Tôn Đức Thắng năm 2026,https://admission.tdtu.edu.vn/hoc-tai-tdtu/hoc-phi-hoc-bong-2026,2026-09-19,2026,public-source
hoc-bong-uet-2025-2026,data/dich-vu-dai-hoc/hoc-bong-uet-2025-2026.md,Học bổng Khuyến khích học tập UET học kỳ I năm học 2025-2026,https://uet.edu.vn/cap-hoc-bong-khuyen-khich-hoc-tap-trong-hoc-ky-i-nam-hoc-2025-2026-cho-sinh-vien/,2026-09-19,2025-2026,public-source
hoc-bong-vju-2025,data/dich-vu-dai-hoc/hoc-bong-vju-2025.md,Scholarship and Financial Aids - VNU Vietnam Japan University,https://vju.ac.vn/en/scholarship-and-financial-aids/,2026-09-19,2025,public-source
noi-quy-thu-vien-ptit-sinh-vien,data/dich-vu-dai-hoc/noi-quy-thu-vien-ptit-sinh-vien.md,Nội quy mượn tài liệu Thư viện PTIT - Sinh viên,https://lib.ptit.edu.vn/noi-quy-thu-vien/,2026-09-19,not-stated,public-source
noi-quy-thu-vien-ptit-can-bo,data/dich-vu-dai-hoc/noi-quy-thu-vien-ptit-can-bo.md,"Nội quy mượn tài liệu Thư viện PTIT - Cán bộ, giảng viên",https://lib.ptit.edu.vn/noi-quy-thu-vien/,2026-09-19,not-stated,public-source
